* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C740 2025021420   1015.2     17.1       94      1.9     63.0      5.4     53.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C740 2025021421   1015.5     17.0       95      2.3     59.0      4.8     59.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025021422   1015.4     17.0       95      1.9     75.0      3.3     63.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C740 2025021423   1015.4     16.6       95      0.3    270.0      2.8     78.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021424   1015.6     16.4       94      1.5    259.0      2.5    237.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C740 2025021501   1015.5     16.9       95      1.7    242.0      3.2    259.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021502   1015.2     17.0       96      1.2    264.0      3.1    258.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C740 2025021503   1014.8     16.8       96      1.3    239.0      2.9    216.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021504   1014.9     16.5       96      1.0    285.0      4.0    237.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C740 2025021505   1014.7     16.5       97      0.6     20.0      2.2    333.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C740 2025021506   1015.1     16.8       97      1.3    258.0      2.8    235.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C740 2025021507   1014.9     16.7       97      1.3    231.0      2.8    238.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021508   1014.9     17.0       96      1.7    272.0      3.1    265.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025021509   1015.2     16.7       96      1.7    286.0      4.3    286.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C740 2025021510   1015.4     17.2       96      2.3    296.0      4.2    265.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C740 2025021511   1014.7     17.4       92      2.3    298.0      4.3    300.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021512   1013.6     17.5       92      1.8    337.0      4.1    293.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025021513   1012.7     17.0       93      2.2    298.0      3.8    359.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C740 2025021514   1011.8     17.4       91      2.0    310.0      3.9    292.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C740 2025021515   1011.8     17.0       91      2.5    306.0      5.0    298.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C740 2025021516   1012.4     15.8       92      2.5    329.0      5.7    302.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C740 2025021517   1012.7     15.6       94      2.0    356.0      5.8     10.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025021518   1013.1     15.5       96      1.2     23.0      4.8    353.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C740 2025021519   1013.2     15.4       96      2.1     56.0      3.5     46.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C740 2025021520   1013.4     15.8       97      2.3     79.0      4.2     60.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C740 2025021521   1014.1     15.8       97      2.0     57.0      5.1     48.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C740 2025021522   1014.8     16.0       98      2.1     47.0      4.1     47.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C740 2025021523   1014.8     16.2       98      2.0     57.0      4.0     58.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021524   1014.8     16.4       98      1.8     57.0      4.1     60.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C740 2025021601   1015.1     16.1       98      1.6     48.0      4.1     42.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C740 2025021602   1015.2     16.2       97      1.0    359.0      3.1     63.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025021603   1015.0     16.3       97      1.1     37.0      2.5     59.0      0.0     None     None     None     None     None     None     None     None     4800     None
C0C740 2025021604   1015.4     16.2       98      1.0    313.0      1.9     57.0      0.0     None     None     None     None     None     None     None     None     1200     None
C0C740 2025021605   1015.4     16.2       98      0.6    353.0      2.2    302.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C740 2025021606   1015.9     16.3       98      1.4     56.0      2.6     55.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C740 2025021607   1016.4     16.4       98      1.5     55.0      2.8     57.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C740 2025021608   1017.3     16.5       98      2.8     47.0      5.8     46.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C740 2025021609   1017.7     16.5       98      4.1     56.0      6.4     64.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C740 2025021610   1018.3     17.0       96      4.3     53.0      7.4     59.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C740 2025021611   1018.0     18.0       89      4.3     52.0      7.4     55.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C740 2025021612   1017.6     18.9       86      4.2     50.0      7.4     57.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C740 2025021613   1016.9     18.8       83      4.6     45.0      8.2     60.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C740 2025021614   1016.2     18.5       85      4.5     45.0      7.8     53.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C740 2025021615   1016.1     18.7       83      5.1     51.0      9.4     57.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C740 2025021616   1016.9     18.1       84      5.5     55.0     10.5     56.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C740 2025021617   1017.4     17.8       83      5.3     58.0      9.7     51.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C740 2025021618   1018.1     17.2       85      5.0     58.0     10.2     59.0      0.0     None     None     None     None     None     None     None     None     3300     None
